BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2,32000,550,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,42000,745,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,60000,800,2,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
3,51500,1265,10,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
3,130000,1800,10,Super Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1,25000,325,17,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2,85000,902,41,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,98000,1233,14,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2,100000,750,0,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2,65000,600,14,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1,23000,500,3,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2,40000,600,15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3,45000,950,15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1,40000,680,5,Super Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
1,23500,400,1,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
4,250000,2120,46,Carpet Area,Mumbai,Furnished,Bachelors/Family,5,Contact Agent
3,110000,1350,12,Carpet Area,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent
3,150000,1600,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,22000,430,4,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
4,150000,1937,20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
2,75000,700,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2,41000,780,14,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
4,150000,1300,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
3,150000,1350,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,53000,750,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
4,140000,1400,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
4,200000,2000,17,Carpet Area,Mumbai,Furnished,Bachelors/Family,5,Contact Agent
2,65000,850,10,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1,48000,500,4,Carpet Area,Mumbai,Furnished,Bachelors,1,Contact Agent
2,75000,900,10,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,39000,750,1,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
3,70000,1100,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
4,1200000,5000,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
1,25000,596,1,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,45000,680,3,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
4,190000,1950,11,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
3,140000,1350,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,35000,510,3,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,60000,500,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
1,15000,375,13,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1,39000,500,2,Carpet Area,Mumbai,Furnished,Family,1,Contact Agent
3,190000,1500,8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,84000,1000,18,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
3,68000,1260,27,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
1,26000,475,8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,42000,620,6,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1,35000,490,1,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
2,44000,710,13,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,60000,720,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,45000,770,2,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
3,250000,1600,19,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,65000,500,0,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
1,20000,350,1,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2,75000,1000,3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
5,500000,3900,4,Carpet Area,Mumbai,Furnished,Bachelors/Family,5,Contact Agent
3,140000,1000,3,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
2,45000,660,25,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1,9400,600,4,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,100000,900,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,65000,750,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,230000,1000,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,180000,1500,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2,180000,1200,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
3,120000,1200,10,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
1,20000,280,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,130000,1000,10,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
3,400000,1800,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent
2,75000,694,1,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
5,350000,3250,12,Carpet Area,Mumbai,Unfurnished,Family,5,Contact Agent
3,100000,1740,21,Super Area,Mumbai,Furnished,Bachelors/Family,4,Contact Owner
2,55000,750,8,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,70000,1000,12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,30000,500,3,Super Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
4,330000,2000,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors,5,Contact Agent
1,75000,550,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1,14000,270,6,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Owner
3,130000,960,9,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
3,40000,1200,2,Super Area,Mumbai,Semi-Furnished,Family,2,Contact Owner
2,46000,710,15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,27000,472,13,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
2,95000,1000,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,94000,800,14,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
2,40000,650,7,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
3,150000,1300,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,30000,600,2,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,95000,750,7,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
2,130000,890,45,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
1,14000,421,3,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
3,100000,1300,12,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
1,35000,350,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2,57000,800,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,45000,650,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,11000,650,18,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2,50000,650,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,35000,680,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,100000,800,1,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,130000,1250,12,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
1,52000,475,10,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
2,28000,600,1,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,18000,450,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1,30000,400,3,Super Area,Mumbai,Unfurnished,Bachelors,1,Contact Owner
3,45000,985,Lower,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
3,130000,1450,3,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent
2,58000,650,15,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
2,65000,805,48,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,24000,650,3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,54500,515,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
3,70000,1000,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,67000,1050,6,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
2,75000,777,17,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,45000,831,16,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
3,98000,1233,35,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
1,16000,250,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2,95000,900,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2,40000,753,11,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3,300000,1800,8,Carpet Area,Mumbai,Furnished,Bachelors,3,Contact Agent
2,80000,670,5,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
4,380000,2800,50,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
3,160000,1197,18,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,44000,880,12,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner
2,200000,1000,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,65000,935,2,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,50000,751,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,6000,200,0,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
4,280000,2500,24,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent
1,46000,500,6,Carpet Area,Mumbai,Furnished,Family,1,Contact Agent
1,35000,430,15,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Agent
3,75000,1088,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,20000,330,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1,25000,400,Upper,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
3,110000,1200,6,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,29500,700,2,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3,53000,1000,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,85000,750,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,26000,450,6,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1,33000,640,11,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
3,180000,1190,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,70000,850,5,Super Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent
1,17000,330,0,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
2,37000,685,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1,27000,400,6,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1,35500,500,8,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1,24000,550,2,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
4,250000,2500,2,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
3,180000,1100,6,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent
2,18500,650,3,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
3,200000,1400,8,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,70000,1050,14,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,55000,850,6,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent
1,24000,550,0,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2,55000,750,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,150000,1350,23,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,50000,800,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
4,300000,2650,14,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,90100,975,29,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,57000,1325,15,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2,40000,700,3,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,80000,700,3,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
2,95000,850,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,14000,305,10,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2,50000,850,8,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,43000,724,6,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,55000,650,8,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
2,35000,650,5,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
2,33000,700,15,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2,47000,785,4,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,75000,1250,15,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
4,45000,1016,3,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1,36000,380,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,40000,475,18,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1,40000,444,8,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2,32000,640,6,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,17000,320,23,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
3,77000,1100,16,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
4,290000,1500,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,35000,650,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,40000,508,16,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
4,250000,2500,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2,47000,720,Upper,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2,50000,750,0,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1,32000,430,2,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
2,8000,623,6,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
3,240000,1358,40,Carpet Area,Mumbai,Semi-Furnished,Family,4,Contact Agent
3,85000,1000,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,65000,1100,25,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent
3,75000,1255,12,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Owner
1,26500,450,5,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
2,45000,650,3,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,95000,955,34,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2,38000,700,Upper,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
3,260000,1915,8,Super Area,Mumbai,Semi-Furnished,Family,4,Contact Agent
4,300000,2308,9,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent
3,180000,1250,11,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
2,40000,625,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
4,300000,2200,7,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent
2,85000,870,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,110000,1300,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,40000,750,2,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
2,45000,750,2,Super Area,Mumbai,Furnished,Bachelors,2,Contact Owner
2,52000,550,3,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
4,90000,1250,2,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent
3,140000,1400,11,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
3,150000,1330,32,Carpet Area,Mumbai,Semi-Furnished,Family,4,Contact Agent
3,65000,1000,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,50000,770,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,54000,800,3,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
4,180000,1691,20,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,6,Contact Agent
1,60000,550,12,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
2,65000,800,10,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
2,35000,615,6,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
2,43000,663,25,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,20000,400,3,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,57000,625,9,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
4,130000,1432,12,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1,25000,425,3,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
2,56000,649,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2,55000,905,10,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
2,18000,882,10,Super Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner
3,100000,1200,4,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,76000,736,16,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
3,270000,1710,25,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
1,45000,225,3,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Owner
2,39000,720,Upper,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,12500,555,6,Super Area,Mumbai,Unfurnished,Bachelors,1,Contact Owner
1,35000,415,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
2,55000,649,4,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
3,90000,1000,3,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
2,250000,1300,Upper,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
2,25000,1065,15,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2,90000,854,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,120000,1200,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
1,55000,500,8,Carpet Area,Mumbai,Unfurnished,Bachelors,1,Contact Agent
3,70000,906,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,300000,1800,11,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2,25000,500,1,Carpet Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1,35000,450,2,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
3,120000,1130,3,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1,27000,495,5,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1,25000,407,5,Super Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
3,150000,1092,60,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
2,32000,610,11,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1,40000,500,13,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
2,52000,750,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,80000,750,6,Carpet Area,Mumbai,Furnished,Bachelors,2,Contact Agent
2,55000,850,6,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1,30000,350,5,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1,20000,300,2,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1,85000,695,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1,40000,415,15,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,21000,450,3,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
3,43000,850,8,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
2,58000,805,30,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
2,130000,700,7,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,260000,1800,10,Carpet Area,Mumbai,Furnished,Family,4,Contact Agent
2,46000,669,15,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1,6500,325,7,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
1,21000,600,5,Super Area,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
2,46000,725,Upper,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2,60000,750,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,65000,1050,13,Carpet Area,Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
2,15000,600,18,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2,130000,1000,10,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,90000,1110,9,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
2,62000,650,11,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
3,160000,1100,8,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,80000,1100,15,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
3,80000,1110,49,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3,55000,999,14,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
3,100000,1000,2,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
4,200000,2200,11,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
3,100000,1256,10,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent
2,79500,750,17,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
3,84500,889,7,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2,100000,750,14,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,13000,385,6,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
4,100000,1454,5,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent
1,35000,480,1,Carpet Area,Mumbai,Semi-Furnished,Family,2,Contact Agent
2,72000,660,12,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,180000,1600,9,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
1,26000,434,5,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,72000,1121,7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1,8000,620,6,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,130000,937,16,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
1,52000,470,6,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,13000,410,2,Carpet Area,Mumbai,Unfurnished,Family,1,Contact Agent
3,45000,850,5,Carpet Area,Mumbai,Unfurnished,Family,3,Contact Agent
3,180000,1500,15,Carpet Area,Mumbai,Furnished,Bachelors/Family,4,Contact Agent
2,63000,888,12,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1,7500,380,3,Carpet Area,Mumbai,Unfurnished,Bachelors,2,Contact Owner
1,30000,360,4,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1,28500,565,1,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
3,100000,2000,25,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
4,270000,1358,25,Carpet Area,Mumbai,Semi-Furnished,Family,4,Contact Agent
2,38000,661,17,Carpet Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1,26000,450,9,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
3,70000,1300,6,Carpet Area,Mumbai,Unfurnished,Bachelors,3,Contact Agent
2,41000,600,4,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
2,27000,900,0,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
1,53000,379,21,Carpet Area,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
2,65000,805,8,Carpet Area,Mumbai,Semi-Furnished,Family,3,Contact Agent
1,85000,650,3,Super Area,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1,6000,500,8,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,43000,480,5,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent
2,65000,550,1,Super Area,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,280000,1600,5,Carpet Area,Mumbai,Furnished,Bachelors/Family,3,Contact Agent
